"nursery_id"	"2-hexanone-1,1,1,3.3-d5"	"Benzaldehyde-d6"	"Ethyl acetate-d8"
"506"	8191	4993349	1438390	1443569
"507"	8195	6079598	1891278	1774002
"508"	8209	5079738	1455870	1483834
"509"	8219	4159272	1438317	975440
"510"	8224	2812947	973074	987929
"511"	8227	4257664	1433869	857652
"512"	8228	4736096	1434799	1234165
"513"	8236	4769123	1455172	1328289
"514"	8239	5069823	1461126	1598043
"515"	8244	4676919	1485295	1228990
"516"	8246	4824940	1446623	1385267
"517"	8249	4507062	1389441	907105
"518"	8263	2661722	915253	850207
"519"	8272	4773239	1540338	1172100
"520"	8274	5648364	1723256	909358
"521"	8276	4858442	1389100	1528823
"522"	8281	NA	966972	987157
"523"	8284	4646909	1400490	1499151
"524"	8287	4258143	1351768	1303126
"525"	8293	4625717	1376918	1490904
"526"	8297	2725716	1263301	498977
"527"	8302	4415569	1363893	1095974
"528"	8303	4975718	1477185	1479884
"529"	8307	2649794	894222	885307
"530"	8314	4522843	1402905	1292536
"531"	8318	2672072	886796	898410
"532"	8322	2448267	945846	822408
"533"	9002	3787655	1349326	1001451
"534"	9003	4375796	1301068	1396371
"535"	9012	4277515	1442056	1009726
"536"	9019	4683181	1555295	1320872
"537"	9023	3445953	1295312	722074
"538"	9027	4188809	1259427	1356763
"539"	9030	3273737	1092104	985611
"540"	9034	2253362	898940	529197
"541"	9042	4401221	1251921	1478092
"542"	9045	3656650	1241933	1263400
"543"	9054	3720780	1299854	1195710
"544"	9060	3636552	1339889	1027168
"545"	9065	3184464	1239241	864576
"546"	9066	3409727	1308813	527944
"547"	9073	3826426	1442508	844264
"548"	9085	2742496	954645	999552
"549"	9097	3178325	1397780	NA
"550"	9103	4486728	1401248	1323250
"551"	9113	3665743	1279386	751784
"552"	9126	3901045	1359640	866318
"553"	9132	3890744	1305117	1042272
"554"	9134	1760588	666037	608095
"555"	9135	3599267	1237018	862380
"556"	9141	3163318	1083963	740683
"557"	9235	1609652	679213	529526
"558"	9262	2059918	687304	754889
"559"	9301	1972193	672832	686787
"560"	9304	1833134	682918	582784
"561"	9311	1838700	658932	NA
