Row,Block,Tree,nursery_id,year_planted,guard_tree,check_tree,dead_tree,PLANTID,PLANTID_ALT1,ACCID,ACP,ACNO,ACS,kentville_block,origin,apple_id,type
3,South,61,5152,2013,0,0,0,Boiken,,9860,PI,589134,.08,NULL,USDA,437,cider
7,North,17,5006,2013,0,0,0,Bonza,,24851,PI,590156,.06,NULL,USDA,389,dessert
3,South,36,5007,2013,0,0,0,Bonza,,24851,PI,590156,.06,NULL,USDA,389,dessert
17,North,38,3278,2013,0,0,0,Boughsweet,,NULL,,NULL,,113,Kentville,256,dessert
6,South,57,3279,2013,0,0,0,Boughsweet,,NULL,,NULL,,113,Kentville,256,dessert
8,North,3,5282,2013,0,0,1,Bouteille,,161196,PI,187296,.04,NULL,USDA,481,cider
2,South,34,5284,2013,0,0,0,Bouteille,,161196,PI,187296,.04,NULL,USDA,481,cider
17,North,24,6232,2013,0,0,0,"Bowden Seedling",,165095,PI,194199,.06,NULL,USDA,570,cider
10,South,57,6233,2013,0,0,0,"Bowden Seedling",,165095,PI,194199,.06,NULL,USDA,570,cider
15,North,1,6234,2013,1,0,0,"Bowden Seedling",,165095,PI,194199,.06,NULL,USDA,570,cider
11,North,54,1118,2013,0,0,0,Braeburn,,17183,PI,589442,,113,Kentville,40,dessert
14,South,25,1120,2013,0,0,0,Braeburn,,17183,PI,589442,,113,Kentville,40,dessert
12,North,4,5297,2013,0,0,0,Brettacher,,18083,PI,589563,.08,NULL,USDA,486,cider
10,South,59,5298,2013,0,0,0,Brettacher,,18083,PI,589563,.08,NULL,USDA,486,cider
1,North,52,1071,2013,0,0,0,Britegold,,19536,PI,589726,,113,Kentville,24,cider
14,South,32,1072,2013,0,0,0,Britegold,,19536,PI,589726,,113,Kentville,24,cider
17,North,59,5195,2013,0,0,0,Britemac,,10129,PI,589140,.07,NULL,USDA,452,dessert
11,South,62,5196,2013,1,0,0,Britemac,,10129,PI,589140,.07,NULL,USDA,452,dessert
4,South,28,5197,2013,0,0,0,Britemac,,10129,PI,589140,.07,NULL,USDA,452,dessert
4,North,46,5162,2013,0,0,0,"Brown's Apple",,18794,PI,589662,.04,NULL,USDA,441,cider
14,South,60,5164,2013,0,0,1,"Brown's Apple",,18794,PI,589662,.04,NULL,USDA,441,cider
16,North,20,5106,2013,0,0,0,Brusnichnoe,,222597,PI,293887,.06,NULL,USDA,422,cider
13,South,13,5107,2013,0,0,0,Brusnichnoe,,222597,PI,293887,.06,NULL,USDA,422,cider
7,North,53,4277,2013,0,0,1,"Bulmer Norman",,2985,PI,588808,.07,NULL,USDA,366,cider
9,South,2,4278,2013,0,0,0,"Bulmer Norman",,2985,PI,588808,.07,NULL,USDA,366,cider
5,North,57,3052,2013,0,0,0,Burgundy,,3582,PI,588835,.22,NULL,USDA,191,dessert
14,South,26,3053,2013,0,0,0,Burgundy,,3582,PI,588835,.22,NULL,USDA,191,dessert
15,North,51,4298,2013,0,0,0,"C.P. Close",,7076,PI,589017,.07,NULL,USDA,373,cider
11,South,20,4299,2013,0,0,1,"C.P. Close",,7076,PI,589017,.07,NULL,USDA,373,cider
13,North,27,5139,2013,0,0,0,"Captain Kidd",,19073,PI,589698,.05,NULL,USDA,433,dessert
4,South,15,5140,2013,0,0,0,"Captain Kidd",,19073,PI,589698,.05,NULL,USDA,433,dessert
19,North,58,5295,2013,0,0,0,Caravel,,3935,PI,588857,.06,NULL,USDA,485,dessert
1,South,17,5296,2013,0,0,0,Caravel,,3935,PI,588857,.06,NULL,USDA,485,dessert
1,North,53,5312,2013,0,0,1,Carlton,,8424,PI,589075,.10,NULL,USDA,491,dessert
3,South,30,5313,2013,0,0,0,Carlton,,8424,PI,589075,.10,NULL,USDA,491,dessert
19,North,41,4322,2013,0,0,1,Carola,,254289,PI,341068,.05,NULL,USDA,381,dessert
4,South,23,4324,2013,0,0,1,Carola,,254289,PI,341068,.05,NULL,USDA,381,dessert
5,North,34,5033,2013,0,0,1,Carroll,,3535,PI,588832,.05,NULL,USDA,398,cider
12,South,5,5035,2013,0,0,0,Carroll,,3535,PI,588832,.05,NULL,USDA,398,cider
4,North,49,3004,2013,0,0,0,"Casa Nova de Alco Baca-9",,159256,PI,183957,.07,NULL,USDA,178,cider
17,South,39,3005,2013,0,0,0,"Casa Nova de Alco Baca-9",,159256,PI,183957,.07,NULL,USDA,178,cider
