PLANTID,apple_id,ACCID,origin,species,use,country,world,release_year,acidity_16_stor,brix_16_stor,weight_16_stor,firmness_16_stor,brix_acid_16_stor,acidity_16_harv,juiciness_16_harv,date_16_harv,weight_16_harv,brix_16_harv,firmness_16_harv,flowering_16_harv,precocity_16_harv,brix_acid_16_harv,time_ripen_16_harv,percent_acidity_16,percent_brix_16,percent_weight_16,percent_firmness_16,percent_brix_acid_16,acidity_17_stor,brix_17_stor,weight_17_stor,firmness_17_stor,brix_acid_17_stor,brix_17_harv,acidity_17_harv,date_17_harv,firmness_17_harv,weight_17_harv,brix_acid_17_harv,percent_acidity_17,percent_brix_17,percent_weight_17,percent_firmness_17,percent_brix_acid_17,tpc,frap,time_ripen_2017
Honeygold,739,4989,USDA,domestica,dessert,United States,new,1969,3.0418,12.8,116.557,8.6393,4.208034716,4.706345763,14.21453273,289.9926067,151.9743406,14.2123254,7.215671023,151.9485056,1.507808575,3.104994602,137.9229712,-35.3681146,-9.937328066,-23.30481612,19.72968241,35.52470314,6.2176,11.2,138.358,5.8532,1.801338137,13.19543879,8.751657101,264.8688448,8.245558623,222.6351701,1.519499923,-28.95516897,-15.12218597,-37.85438305,-29.01390594,18.54809008,2.775510967,2.363971682,112.940021530852
Golden Reinette,742,287720,USDA,domestica,dessert,Europe,old,NA,3.1222,12.3,144.523,5.3619,3.939529819,3.018189633,10.64631474,290.9877591,169.4308276,11.56651705,7.600870244,155.4841809,1.019212058,3.680694977,133.82395,3.4461177,6.341433206,-14.70088292,-29.45676182,7.03222742,2.5594,11.6,342.03,3.775333333,4.532312261,11.98157421,3.481107685,282.2203879,7.233920802,318.0094688,3.417498708,-26.47742524,-3.184675076,7.553401254,-47.81069027,32.62074541,5.046363911,5.015599551,128.110483633467
Jamba,744,22009,USDA,domestica,dessert,Germany,old,1954,6.499,13.4,169.56625,4.447875,2.06185567,6.924962453,19.88567257,266.6937041,185.5337421,12.45132232,4.643785218,153.9661539,0.941380197,1.771270754,112.9680105,-6.151115709,7.619091776,-8.606246994,-4.218761396,16.4054488,NA,15.9,253.416,2.9664,NA,13.55066238,11.03097409,253.6647072,6.20140252,259.6998017,1.280958667,NA,17.33743748,-2.419640552,-52.16565946,NA,3.956722249,4.264851887,99.6572827191166
Gruzhovka of Moscow,745,287723,USDA,domestica,NA,Former Soviet Union,old,NA,10.3716,14.1,139.35,5.5657,1.359481661,3.767870744,18.1839403,308.0295304,162.8156214,13.4505554,8.0841549,153.9849715,1.030087059,3.528051725,154.1631015,175.2642196,4.82838503,-14.41238942,-31.15297679,-61.46650426,3.819,16.4,NA,NA,4.294317884,14.17931368,5.223371734,285.5507747,9.288872548,176.992172,2.816723483,-26.8863065,15.66145143,NA,NA,52.45791465,3.218830835,3.331336737,131.55635579138
Hua Guan,752,97113,USDA,domestica,dessert,China,old,1988,3.015,11.8,133.365,7.8485,3.913764511,3.589420239,17.39277711,310.9877041,150.1789406,11.98783381,7.723367899,154.2226899,1.492175866,3.415749688,156.822063,-16.00314815,-1.566870321,-11.19593769,1.620175326,14.57995661,3.0552,12.3,132.744,7.8918,4.025923016,11.27436403,4.631241694,285.7130042,8.328587976,186.3315861,2.499977678,-34.03065091,9.097062743,-28.75926043,-5.244442128,61.03835855,2.877597055,3.084233359,131.675832080316
Kestrel,753,17652,USDA,domestica,dessert,Canada,new,1975,5.2528,12.9,139.544,4.209,2.45583308,5.923224802,15.82328259,285.9079952,166.2260307,12.91651838,5.562152668,155.4519665,1.528285876,2.144514588,130.2128296,-11.31857771,-0.127885734,-16.05165604,-24.32785918,14.51696777,5.8692,12.7,100.938,4.949,2.163838343,13.13578034,9.463667546,257.7032324,7.874439298,132.305749,1.349502332,-37.98176055,-3.317506321,-23.70853061,-37.1510807,60.34343113,2.120668531,1.585455011,102.203333691389
Korei,754,168806,USDA,domestica,dessert,Japan,old,1949,5.2059,14.75,135.18,5.8458,2.833755702,4.376083638,14.08774928,309.3378481,161.50488,13.10112741,8.517116655,154.0203651,1.002677598,3.024614579,155.1529435,18.96253432,12.58573051,-16.29974275,-31.36409613,-6.310188336,3.35,11.6,118.762,6.9616,3.462686567,10.75175222,4.397867678,286.0199164,9.281603467,169.3281774,2.408397397,-23.82672137,7.889391081,-29.86282506,-24.99571841,43.77554848,5.958539825,5.974988446,131.977860156709
Karmijn,755,17148,USDA,domestica,cider,Netherlands,old,1971,10.3113,16.9,211.72,5.398625,1.638978596,10.40575143,12.37805462,310.296336,229.4009003,15.58859858,6.959677604,155.783576,2.005479849,1.482499674,153.0763135,-0.90768482,8.412567744,-7.707424107,-22.4299557,10.55507297,10.0768,14.1,170.836,4.521,1.399253731,11.33219572,11.46051599,264.6405036,8.319568093,198.1528883,0.997606904,-12.07376691,24.42425412,-13.78576337,-45.65823671,40.26103125,5.230749862,5.699618577,109.124176943127
Gros Frequin,761,133885,USDA,domestica,NA,France,old,NA,3.3232,15.9,76.091,4.8426,4.784545017,2.11189776,15.04099365,285.4930201,85.35116177,13.32362257,8.290612439,154.1283156,0.994618924,6.040789033,130.9402771,57.35610233,19.33691393,-10.84948532,-41.58935741,-20.7960253,NA,NA,NA,NA,NA,14.12898902,3.978404251,253.9385349,10.74193835,85.37891131,3.609923814,NA,NA,NA,NA,NA,12.57734551,14.0298192,99.8100689448112
Feys Record,764,132778,USDA,domestica,NA,Germany,old,NA,7.3298,11.3,74.405,5.4435,1.541651887,6.024962453,13.17805462,272.6605345,108.032081,11.51798899,7.875428009,153.0718788,2.000489452,1.898307981,120.4327978,21.65718968,-1.892595935,-31.12693997,-30.87994718,-18.78810488,NA,NA,NA,NA,NA,12.13320171,9.553232011,261.7454621,8.722672588,193.9725881,1.032936009,NA,NA,NA,NA,NA,4.826151973,5.512229844,107.892794127239
